Date,State,Region,Confirmed,Deaths,Recovered
4/29/20,,Afghanistan,1939,60,252
4/29/20,,Albania,766,30,455
4/29/20,,Algeria,3848,444,1702
4/29/20,,Andorra,743,42,423
4/29/20,,Angola,27,2,7
4/29/20,,Antigua and Barbuda,24,3,11
4/29/20,,Argentina,4285,214,1192
4/29/20,,Armenia,1932,30,900
4/29/20,,Austria,15402,580,12779
4/29/20,,Azerbaijan,1766,23,1267
4/29/20,,Bahamas,80,11,23
4/29/20,,Bahrain,2921,8,1455
4/29/20,,Bangladesh,7103,163,150
4/29/20,,Barbados,80,7,39
4/29/20,,Belarus,13181,84,2072
4/29/20,,Belgium,47859,7501,11283
4/29/20,,Belize,18,2,9
4/29/20,,Benin,64,1,33
4/29/20,,Bhutan,7,0,5
4/29/20,,Bolivia,1110,59,117
4/29/20,,Bosnia and Herzegovina,1677,65,710
4/29/20,,Botswana,23,1,5
4/29/20,,Brazil,79685,5513,34132
4/29/20,,Brunei,138,1,124
4/29/20,,Bulgaria,1447,64,243
4/29/20,,Burkina Faso,641,43,498
4/29/20,,Burma,150,6,27
4/29/20,,Burundi,11,1,4
4/29/20,,Cabo Verde,114,1,2
4/29/20,,Cambodia,122,0,119
4/29/20,,Cameroon,1832,61,934
4/29/20,,Central African Republic,50,0,10
4/29/20,,Chad,52,2,19
4/29/20,,Chile,14885,216,8057
4/29/20,,Colombia,6207,278,1411
4/29/20,,Congo (Brazzaville),207,8,19
4/29/20,,Congo (Kinshasa),491,30,59
4/29/20,,Costa Rica,713,6,323
4/29/20,,Croatia,2062,67,1288
4/29/20,,Cuba,1467,58,617
4/29/20,,Cyprus,843,15,148
4/29/20,,Czech Republic,7579,227,3108
4/29/20,,Denmark,9008,443,6366
4/29/20,,Diamond Princess,712,13,645
4/29/20,,Djibouti,1077,2,599
4/29/20,,Dominica,16,0,13
4/29/20,,Dominican Republic,6652,293,1228
4/29/20,,Ecuador,24675,883,1557
4/29/20,,Egypt,5268,380,1335
4/29/20,,El Salvador,377,9,106
4/29/20,,Equatorial Guinea,315,1,9
4/29/20,,Eritrea,39,0,19
4/29/20,,Estonia,1666,50,236
4/29/20,,Eswatini,91,1,10
4/29/20,,Ethiopia,130,3,58
4/29/20,,Fiji,18,0,12
4/29/20,,Finland,4906,206,2800
4/29/20,,France,165093,24087,48228
4/29/20,,Gabon,276,3,67
4/29/20,,Gambia,10,1,8
4/29/20,,Georgia,517,6,178
4/29/20,,Germany,161539,6467,120400
4/29/20,,Ghana,1671,16,188
4/29/20,,Greece,2576,139,577
4/29/20,,Grenada,20,0,13
4/29/20,,Guatemala,557,16,62
4/29/20,,Guinea,1351,7,313
4/29/20,,Guinea-Bissau,205,1,19
4/29/20,,Guyana,78,8,18
4/29/20,,Haiti,76,6,8
4/29/20,,Holy See,10,0,2
4/29/20,,Honduras,738,66,73
4/29/20,,Hungary,2727,300,536
4/29/20,,Iceland,1797,10,1656
4/29/20,,India,33062,1079,8437
4/29/20,,Indonesia,9771,784,1391
4/29/20,,Iran,93657,5957,73791
4/29/20,,Iraq,2003,92,1346
4/29/20,,Ireland,20253,1190,13386
4/29/20,,Israel,15834,215,8233
4/29/20,,Italy,203591,27682,71252
4/29/20,,Ivory Coast,1238,14,557
4/29/20,,Jamaica,396,7,29
4/29/20,,Japan,13895,413,2368
4/29/20,,Jordan,451,8,356
4/29/20,,Kazakhstan,3138,25,819
4/29/20,,Kenya,384,15,129
4/29/20,,Kosovo,510,12,93
4/29/20,,Kuwait,3740,24,1389
4/29/20,,Kyrgyzstan,729,8,437
4/29/20,,Laos,19,0,7
4/29/20,,Latvia,849,15,348
4/29/20,,Lebanon,721,24,150
4/29/20,,Liberia,141,16,45
4/29/20,,Libya,61,2,18
4/29/20,,Liechtenstein,82,1,55
4/29/20,,Lithuania,1375,45,563
4/29/20,,Luxembourg,3769,89,3134
4/29/20,,MS Zaandam,9,2,0
4/29/20,,Madagascar,128,0,90
4/29/20,,Malawi,36,3,7
4/29/20,,Malaysia,5945,100,4087
4/29/20,,Maldives,278,1,17
4/29/20,,Mali,482,25,129
4/29/20,,Malta,463,4,339
4/29/20,,Mauritania,8,1,6
4/29/20,,Mauritius,332,10,306
4/29/20,,Mexico,17799,1732,11423
4/29/20,,Moldova,3771,111,1114
4/29/20,,Monaco,95,4,58
4/29/20,,Mongolia,38,0,10
4/29/20,,Montenegro,322,7,203
4/29/20,,Morocco,4321,168,928
4/29/20,,Mozambique,76,0,12
4/29/20,,Namibia,16,0,8
4/29/20,,Nepal,57,0,16
4/29/20,,Netherlands,38802,4711,0
4/29/20,,New Zealand,1476,19,1241
4/29/20,,Nicaragua,13,3,7
4/29/20,,Niger,713,32,435
4/29/20,,Nigeria,1728,51,307
4/29/20,,North Macedonia,1442,73,627
4/29/20,,Norway,7710,207,32
4/29/20,,Oman,2274,10,364
